dt_s,variance,noise,evidence_level,omega,marginal,joint_k2,joint_k8,joint_k8_sd,amplitude_k2,amplitude_k8
0.2,cert,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.75,0.8984693750000001,0.8075733333333334,0.50422,0.014233925077629777,0.001203333333333334,0.15009999999999996
0.2,cert,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,1.0,0.898465625,0.8073700000000001,0.5739883333333333,0.01268399491359777,0.001203333333333334,0.15009999999999996
0.2,cert,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.0,0.8982279166666668,0.8066050000000001,0.4241283333333334,0.012131039482582404,0.0009266666666665202,0.1499266666666666
0.2,cert,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.25,0.8983193750000001,0.8065533333333333,0.4336183333333334,0.012604909730024485,0.0009266666666665202,0.1499266666666666
0.2,cert,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.5,0.8984047916666665,0.8074799999999999,0.4598266666666667,0.013416239732275228,0.0009266666666665202,0.1499266666666666
0.2,cert,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.75,0.8984568749999999,0.8073699999999999,0.5046366666666667,0.013781058623079455,0.0009266666666665202,0.1499266666666666
0.2,cert,uniform_ma1,SYNTHETIC_EXTRAPOLATION,1.0,0.8983977083333333,0.80747,0.574055,0.01289916126151999,0.0009266666666665202,0.1499266666666666
0.1,sf85,white,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.8984682291666667,0.8070158333333333,0.42441,0.00931720969102753,0.0008441666666667569,0.1086375
0.1,sf85,white,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.8985269791666667,0.80786,0.43102916666666663,0.009537261807571027,0.0008441666666667569,0.1086375
0.1,sf85,white,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8986350000000001,0.8076516666666668,0.4516441666666667,0.009957484685214506,0.0008441666666667569,0.1086375
0.1,sf85,white,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8986153125,0.8078399999999999,0.4843225,0.01070020738878632,0.0008441666666667569,0.1086375
0.1,sf85,white,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8986807291666667,0.8075366666666668,0.5330475,0.010703915509317017,0.0008441666666667569,0.1086375
0.1,sf85,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.0,0.8984677083333332,0.8069700000000001,0.4244866666666667,0.009486764708491642,0.0007149999999999102,0.10810166666666665
0.1,sf85,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.25,0.8984641666666667,0.8075358333333332,0.4310525,0.009281270464486666,0.0007149999999999102,0.10810166666666665
0.1,sf85,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.5,0.8985709375,0.807685,0.45113249999999994,0.009298020320564501,0.0007149999999999102,0.10810166666666665
0.1,sf85,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,0.75,0.8985828125,0.80759,0.48398916666666664,0.010255693595105822,0.0007149999999999102,0.10810166666666665
0.1,sf85,gaussian_ma1,SYNTHETIC_AT_CERTIFIED_DT,1.0,0.8986052083333332,0.80738,0.5325883333333333,0.010817826938722887,0.0007149999999999102,0.10810166666666665
