label,coverage_target,coverage,policy,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor
B1_random,0.3,0.29999979998679915,static,149990,349977,0.30496612776443244,0.22268151210080672,0.34023092946107886,0.0825674494516638,3.189619553890443,1.7723816203181235,3.7970066612046725,1.4221588980183717,0.19323075322971317,0.15518367891192747,0.20953662669261122,0.03928059251910626
B1_random,0.31,0.310000460030362,static,154990,344977,0.3038760558196841,0.2229885799083812,0.34021688402415234,0.08147737750691544,3.171036271433097,1.776060650723575,3.7977657967457077,1.4035756155610257,0.1927287200955263,0.15524872572424028,0.2095675943613632,0.03877855938491939
B1_random,0.32,0.31999911994191615,static,159989,339978,0.3026219730502213,0.2228715724206039,0.3401514215625717,0.08022329473745268,3.1478658596110676,1.7735499588334491,3.7946001384453165,1.3804052037389964,0.19213468088893867,0.15506691085012095,0.2095782668290301,0.038184520178331766
B1_random,0.33,0.329999779985479,static,164989,334978,0.3013258875085756,0.22279667129323774,0.34000441820059824,0.07892720919580695,3.1265314817009227,1.7709350131763242,3.794212660003393,1.3590708258288515,0.19149063838213323,0.15491941887034893,0.20950331066517802,0.03754047767152632
B1_random,0.34,0.3400004400290419,static,169989,329978,0.3002038134516878,0.2227379418668267,0.3401105528247338,0.07780513513891915,3.107306341679223,1.7686847019791327,3.796900659818549,1.339845685807152,0.19097460432388538,0.15476883798363422,0.2096260962852069,0.037024443613278474
B1_random,0.35000000000000003,0.3499990999405961,static,174988,324979,0.29901773517052127,0.22284385214986172,0.34003427913803663,0.07661905685775264,3.0872065124058055,1.767858313026084,3.7976219629827925,1.3197458565337343,0.19041256722943714,0.1546677486456214,0.20965970108837803,0.03646240651883023
B1_random,0.36,0.35999975998415895,static,179988,319979,0.29778965411717173,0.22283152210147344,0.33995355945233907,0.0753909758044031,3.0662435833598343,1.7694894288043395,3.7956670354305455,1.2987829274877631,0.18976252432660556,0.15469364624308288,0.20948874769906775,0.035812363615998655
B1_random,0.37,0.3700004200277218,static,184988,314979,0.2966835811163537,0.22307392911972668,0.3399147244736951,0.07428490280358505,3.045899609461699,1.7726461202257457,3.7936847521752775,1.2784389535896277,0.18918848644010505,0.1545451596860337,0.20953460389422787,0.03523832572949814
B1_random,0.38,0.379999079939276,static,189987,309980,0.2953954961027428,0.22305210356498076,0.3397348216013936,0.07299681778997416,3.023216176908804,1.7717575098997858,3.790236235522399,1.255755521036733,0.18855244446133446,0.15452636233005415,0.20940705851990452,0.03460228375072755
B1_random,0.39,0.3899997399828389,static,194987,304980,0.2942074176895675,0.22294819654643644,0.33976654206833234,0.07180873937679885,3.003191777650174,1.7720958803055464,3.7902850156839354,1.235731121778103,0.18794440433068582,0.15455902188351017,0.20928913371368615,0.03399424362007891
B1_random,0.4,0.40000040002640175,static,199987,299980,0.2932373536653419,0.22312950341772214,0.33997599839989334,0.0708386753525733,2.984808162223696,1.7748518747225506,3.7914470317099664,1.2173475063516248,0.18741036908435957,0.15453504477791055,0.20932728848589907,0.03346020837375266
B1_random,0.41000000000000003,0.4099990599379559,static,204986,294981,0.2919732702358356,0.22302010869034958,0.33988968781040135,0.06957459192306695,2.963747717162376,1.7748764230332776,3.7899093041742415,1.1962870612903047,0.1868423315938852,0.15444469378396575,0.20935585681789676,0.03289217088327828
B1_random,0.42,0.4199997199815188,static,209986,289981,0.2906911856182508,0.2228862876572724,0.33979122770112524,0.06829250730548217,2.9436408262995837,1.7760362415090387,3.7891466226856476,1.1761801704275126,0.18624829238729756,0.15443886735306164,0.20928267714091614,0.032298131676690656
B1_random,0.43,0.4300003800250817,static,214986,284981,0.2894671048289187,0.22294474989069055,0.33965071355634235,0.06706842651615005,2.9221848542001725,1.7736809020580353,3.7886014597115203,1.1547241983281014,0.18564425252066635,0.15428911650060934,0.20929816373723162,0.031694091810059444
B1_random,0.44,0.4399990399366358,static,219985,279982,0.2883370302439961,0.22291519876355206,0.33973969755198546,0.06593835193122746,2.9029176290484022,1.7726010409864512,3.791020059293233,1.135456973176331,0.18513421885844467,0.1542241516467032,0.20942060561036066,0.031184058147837757
B1_random,0.45,0.4499996999801987,static,224985,274982,0.28701094272221966,0.2225303909149499,0.33976769388541794,0.06461226440945103,2.8815233391408044,1.7685035926383037,3.792174755112996,1.1140626832687333,0.18453017899181345,0.15398804364735427,0.20951916852739452,0.030580018281206545
B1_random,0.46,0.46000036002376155,static,229985,269982,0.28586086681720996,0.22260582211883384,0.3397448718803476,0.06346218850444132,2.8618058627535907,1.7691816037170789,3.792561210200873,1.0943452068815196,0.18396814189736524,0.1540665695588843,0.20943988858516494,0.03001798118675833
B1_random,0.47000000000000003,0.46999901993531573,static,234984,264983,0.2846307856318517,0.22260664555884657,0.33963310853903833,0.062232107319083046,2.8404708230461706,1.7673902626341957,3.7920668213096342,1.0730101671740995,0.1833581016347079,0.15402750825588124,0.20936814814535273,0.029407940924100984
B1_random,0.48,0.4799996799788786,static,239984,259983,0.28332069916614494,0.22255233682245484,0.3394145001788578,0.06092202085337631,2.818379974584658,1.768658865044704,3.7873520641129597,1.050919318712587,0.18273006018397214,0.1540727715181012,0.2091829081132228,0.028779899473365234
B1_random,0.49,0.49000034002244147,static,244984,254983,0.2822426280134489,0.22268801227835286,0.33946184647603955,0.05984394970068027,2.798696610230251,1.7689564454027755,3.7880561539649085,1.0312359543581797,0.18217602361755875,0.15404679489272768,0.20920218210625807,0.028225862906951837
B1_random,0.5,0.5000010000660043,static,249984,249983,0.28123856174507517,0.2227622567844342,0.3397151006268426,0.05883988343230653,2.7809902976983283,1.7688673381822633,3.793117305981547,1.0135296418262572,0.18170799272752003,0.15414986559139784,0.20926623010364706,0.02775783201691312
B1_random,0.51,0.5099996599775585,static,254983,244984,0.28012448821622227,0.22278347968295925,0.339805864872808,0.057725809903453634,2.760685548722021,1.7677656928585184,3.7941313394987386,0.9932248928499501,0.1811199539169585,0.15400634552107395,0.20934020180909774,0.0271697932063516
B1_random,0.52,0.5200003200211214,static,259983,239984,0.2790004140273258,0.22284149348226615,0.3398393226215081,0.05660173571455715,2.740048234168305,1.7672628597087876,3.7939004076803253,0.9725875782962339,0.1806399222348675,0.15410623002273224,0.20938479231948798,0.026689761524260586
B1_random,0.53,0.5300009800646843,static,264983,234984,0.27773433046581075,0.2228369367091474,0.3396401457120485,0.05533565215304212,2.719456318316095,1.7690394528431648,3.7912072131157974,0.9519956624440238,0.1800358823682363,0.15419102357509726,0.2091801995029449,0.0260857216576294
B1_random,0.54,0.5399996399762385,static,269982,229985,0.2764702470363044,0.2227111437058767,0.33957866817401133,0.05407156872353577,2.6978592383146762,1.7675858807822995,3.789917683923329,0.9303985824426051,0.179397840257457,0.15420657673474528,0.20897015022718873,0.025447679546850094
B1_random,0.55,0.5500003000198013,static,274982,224985,0.2752301651909026,0.22269093977060317,0.33944485187901413,0.052831486878133965,2.676434409263569,1.7685276235532394,3.7860996036018473,0.9089737533914977,0.17878779999479966,0.1542137303532595,0.20882281040958287,0.024837639284192747
